Topic 0:
	lul	0.06623026
	doritoschip	0.020213006
	bye	0.017023692
	coolstorybob	0.013275211
	na	0.012861014
	tober	0.012798885
	og	0.012301849
	4head	0.011224938
	pogchamp	0.010003057
	usa	0.009609571
	bcwarrior	0.008139173
	doter	0.007911364
	international	0.007828524
	doto	0.0074350378
	ready	0.007269359
	ti	0.0071036806
	winner	0.006544515
	hon	0.0065030954
	nomnom	0.006047479
	trash	0.006047479
	admiralti	0.0053640543
	bigbrother	0.0053226347
	wan	0.0051983753
	admiral1	0.0049498575
	admiral2	0.0048048887
	dont	0.004784179
	sheever	0.0047427593
	brokebacks	0.0046185
Topic 9:
	lul	0.09394191
	lol	0.036836736
	w33	0.03110534
	r9k	0.028106796
	hero	0.019680507
	laughing	0.01489802
	omg	0.014632326
	spam	0.014480501
	stop	0.013114076
	elegiggle	0.01286736
	gif	0.012848382
	guys	0.0119184535
	mode	0.011690716
	doom	0.011235241
	here>	0.0109315915
	<insert	0.010912613
	4head	0.0103812255
	puppey	0.0099067725
	cool	0.0090148
	space	0.008141806
	stream	0.0076863314
	kiss	0.0075534848
	kappa	0.007363703
	picked	0.007154944
	xd	0.0070031187
	drafts	0.006927206
	expected	0.0064907093
	put	0.0063578626
	discuss	0.0063388846
	comments	0.006243994
Topic 10:
	feelsgoodman	0.31807464
	time	0.026106963
	watch	0.020802248
	ronsmug	0.01968447
	dotes	0.01716473
	boy	0.016785821
	win	0.0141903
	minglee	0.012920958
	forsene	0.011348489
	memes	0.011253762
	chat	0.011159035
	artour	0.010420164
	pipehype	0.010060201
	patch	0.008866641
	lul	0.0081088245
	feelsamazingman	0.007616244
	notes	0.0075972984
	feelsbadman	0.007256281
	1	0.005949048
	boi	0.004944941
	eat	0.004944941
	dota	0.004888105
	durka	0.0048312685
	good	0.0047554867
	meme	0.004566033
	twitch	0.004300797
	wutface	0.0041681794
	im	0.0040923976
	lose	0.003694544
	chuan	0.003694544
Topic 11:
	swiftrage	0.27957046
