match_id,match_seq_num,game_mode,start_time,date,radiant_win,league_id,league_name,league_prize_pool,radiant_name,radiant_team_id,radiant_captain,radiant_team_complete,dire_name,dire_team_id,dire_captain,dire_team_complete,r1_account_id,r2_account_id,r3_account_id,r4_account_id,r5_account_id,d1_account_id,d2_account_id,d3_account_id,d4_account_id,d5_account_id,duration,first_blood_time,negative_votes,positive_votes,human_players
262482014,238169946,2,1375567673,2013-08-04,True,65006,The International 2013 Pass,2874380,Zenith,2,,1,Fnatic,350190,,1,84772440,93670407,82630959,121052479,85417034,19672354,94155156,100317750,8712306,21265941,2252,185,73,1694,10
262495365,238177765,2,1375569229,2013-08-04,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,mousesports,26,,1,87278757,89625472,70388657,82262664,86723143,86738694,4281729,86799300,31078647,21289303,1745,223,271,9647,10
262504787,238183847,2,1375570752,2013-08-04,True,65006,The International 2013 Pass,2874380,Team Liquid,2163,,1,Orange.Neolution Esports,416900,,1,67601693,1185644,41470731,30237211,86715129,89249333,89871557,89330493,91644707,93616251,1026,157,147,1525,10
262511470,238194332,2,1375571620,2013-08-04,True,65006,The International 2013 Pass,2874380,LGD-GAMING.int,77666,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,87382579,87196890,87586992,31818853,87285329,99460568,89246836,88521435,89423756,89296893,1690,26,90,1610,10
262520546,238210600,2,1375572759,2013-08-04,False,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,Alliance,111474,,1,82327674,90137663,90045009,88553213,88585077,41288955,41231571,101495620,3916428,76482434,3060,163,411,11615,10
262520933,238219113,2,1375572877,2013-08-04,True,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,Team Liquid,2163,,1,89871557,89249333,89330493,93616251,91644707,1185644,67601693,41470731,30237211,86715129,4378,151,228,2820,10
262531941,238217809,2,1375574433,2013-08-04,False,65006,The International 2013 Pass,2874380,LGD-GAMING.int,77666,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,87382579,87196890,87586992,31818853,87285329,99460568,89246836,89423756,88521435,89296893,2568,157,822,1310,10
262535265,238216113,2,1375575056,2013-08-04,True,65006,The International 2013 Pass,2874380,Team Dignitas,142,,1,LGD-GAMING,15,,1,38515149,5448108,87276347,40547474,10366616,89371588,98887913,98878010,114239371,108382060,1689,198,142,1465,10
262546824,238232717,2,1375576966,2013-08-04,False,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,Alliance,111474,,1,82327674,90137663,90045009,88553213,88585077,41288955,41231571,101495620,3916428,76482434,2626,178,531,9628,10
262559167,238244665,2,1375578981,2013-08-04,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Zenith,2,,1,87278757,89625472,70388657,82262664,86723143,93670407,84772440,82630959,121052479,85417034,2712,238,334,7906,10
